Area of expertise,Region,Category,Organisation type,Experience,Job title,Salary Minimum,Salary Typical,Salary Maximum,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,200000,240000,250000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,150000,160000,170000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,170000,180000,190000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,180000,190000,200000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,180000,190000,200000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,150000,160000,170000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,160000,175000,190000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,180000,200000,250000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,200000,220000,230000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,170000,180000,200000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,170000,180000,200000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,150000,180000,200000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,180000,200000,250000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,150000,170000,180000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,180000,190000,200000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,190000,220000,240000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,250000,270000,300000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,160000,170000,180000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,180000,190000,200000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,220000,235000,250000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,240000,260000,280000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,200000,220000,240000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,200000,240000,280000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,200000,250000,280000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,250000,280000,300000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,180000,180000,200000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,200000,200000,230000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Территориальный менеджер по продажам ,200000,220000,240000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,200000,250000,300000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,210000,230000,260000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,250000,280000,300000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,180000,200000,220000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,220000,230000,250000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,220000,235000,250000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,240000,270000,300000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,190000,210000,230000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,220000,260000,300000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,250000,280000,350000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,250000,280000,350000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,200000,200000,250000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,200000,220000,250000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,180000,200000,240000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,200000,230000,280000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Территориальный менеджер по продажам ,200000,230000,250000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Территориальный менеджер по продажам ,220000,260000,320000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Национальный менеджер по продажам / Директор по продажам ,200000,250000,270000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Национальный менеджер по продажам / Директор по продажам ,300000,320000,350000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Национальный менеджер по продажам / Директор по продажам ,200000,270000,320000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Национальный менеджер по продажам / Директор по продажам ,350000,370000,450000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Национальный менеджер по продажам / Директор по продажам ,300000,330000,350000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Национальный менеджер по продажам / Директор по продажам ,350000,400000,450000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,100000,130000,150000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,150000,180000,200000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,90000,100000,120000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,100000,130000,150000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,85000,92500,100000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,85000,97500,110000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,100000,110000,120000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,110000,120000,130000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,100000,130000,150000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,130000,150000,180000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,110000,120000,130000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,110000,120000,130000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,100000,100000,120000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,100000,120000,130000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,100000,110000,120000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,100000,120000,140000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,130000,160000,190000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,150000,200000,250000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,100000,120000,150000,
